IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
13.231.236.95,8443,TRUE,NRT,亚太,JP,日本,东京,40 ms,16.19
104.245.12.55,443,TRUE,SJC,北美洲,US,美国,圣何塞,129 ms,15.93
154.17.229.59,8443,TRUE,LAX,北美洲,US,美国,洛杉矶,133 ms,14.34
154.17.228.99,443,TRUE,LAX,北美洲,US,美国,洛杉矶,131 ms,13.9
154.17.228.214,443,TRUE,LAX,北美洲,US,美国,洛杉矶,132 ms,13.87
154.21.87.49,443,TRUE,LAX,北美洲,US,美国,洛杉矶,175 ms,13.75
154.17.230.16,443,TRUE,LAX,北美洲,US,美国,洛杉矶,131 ms,13.71
193.226.78.85,443,TRUE,HKG,亚太,HK,香港,香港,35 ms,13.7
210.186.12.244,443,TRUE,KUL,亚太,MY,马来西亚,吉隆坡,85 ms,13.66
156.238.18.100,443,TRUE,SEA,北美洲,US,美国,西雅图,179 ms,13.65
207.60.50.24,8443,TRUE,LAX,北美洲,US,美国,洛杉矶,136 ms,13.62
154.7.182.95,443,TRUE,LAX,北美洲,US,美国,洛杉矶,136 ms,13.5
172.104.127.132,443,TRUE,NRT,亚太,JP,日本,东京,56 ms,13.46
172.179.181.196,443,TRUE,SEA,北美洲,US,美国,西雅图,162 ms,12.91
103.57.167.29,443,TRUE,SYD,大洋洲,AU,澳大利亚,悉尼,149 ms,12.64
154.17.26.175,8443,TRUE,LAX,北美洲,US,美国,洛杉矶,170 ms,12.54
154.17.230.139,443,TRUE,LAX,北美洲,US,美国,洛杉矶,133 ms,12.5
139.162.1.215,2053,TRUE,SIN,亚太,SG,新加坡,新加坡,67 ms,12.47
156.238.18.10,2083,TRUE,SEA,北美洲,US,美国,西雅图,157 ms,12.2
103.149.165.47,443,TRUE,BOM,亚太,IN,印度,孟买,125 ms,12.07
206.237.117.14,443,TRUE,LAX,北美洲,US,美国,洛杉矶,132 ms,11.85
203.9.150.104,443,TRUE,HKG,亚太,HK,香港,香港,34 ms,11.85
